Date,Bank,Account,Description,Amount,Type,Category,Receipt,Notes,Income streams,Ungrouped
11/17/25,"Capital One","Venture","Romans Mexi Cali",-37.14,Personal,"Restaurants",N,
11/17/25,"Capital One","Venture","Lyft",-58,Business,"Travel expenses",N,
11/17/25,"Capital One","Venture","Amazon",-33.39,Business,"Materials & Supplies",N,
11/17/25,"Wells Fargo Bank","Initiate Business Checking��","ATM Withdrawal",-250,Business,"Meals",N,
11/17/25,"Wells Fargo Bank","Initiate Business Checking��","ATM Withdrawal",-250,Business,"Travel expenses",N,
11/15/25,"Capital One","Spark Cash","Openai Chatgpt Subscr",-20,Business,"Memberships/subscriptions",N,
11/15/25,"Capital One","Venture","You Be Free",-38.79,Business,"Advertising",N,"gift for client"
11/14/25,"Capital One","Spark Cash","Claude Ai Subscription",-91.93,Business,"Apps/software/web services",N,
11/14/25,"Capital One","Venture","Amazon",-13.11,Business,"Materials & Supplies",N,
11/14/25,"Capital One","Venture","Trader Joe's",-21.95,Personal,"Groceries",N,
11/14/25,"Capital One","Venture","Amazon Fresh",-20.58,Personal,"Groceries",N,
11/14/25,"Wells Fargo Bank","Initiate Business Checking��","Kdit Llc Receivable",8500,Business,"Income",N,
11/13/25,"Capital One","Venture","Costco",-148.65,Business,"Other business expenses",N,
11/13/25,"Capital One","Venture","Armando",-48.3,Business,"Health insurance premium",N,
11/13/25,"Capital One","Venture","Costco",-2.14,Business,"Other business expenses",N,
11/12/25,"Capital One","Spark Cash","Trader Joe's",-126.52,Business,"Meals",N,
11/12/25,"Capital One","Spark Cash","Cash Auto Redemption",50,Business,"Credit card payment",N,
11/12/25,"Capital One","Spark Cash","Wal-Mart",-38.71,Business,"Materials & Supplies",N,
11/11/25,"Capital One","Spark Cash","Ingram Micro",-4.17,Business,"Memberships/subscriptions",N,
11/11/25,"Capital One","Spark Cash","Orange County Fuel",-55,Business,"Gas and fuel",N,
11/11/25,"Capital One","Spark Cash","Ingram Micro",-1569.96,Business,"Memberships/subscriptions",N,
11/11/25,"Capital One","Venture","CVS",-23.77,Business,"Other business expenses",N,
11/11/25,"Capital One","Venture","CVS",-5,Business,"Other business expenses",N,
11/10/25,"Capital One","Spark Cash","Microsoft",-29.96,Business,"Apps/software/web services",N,
11/10/25,"Capital One","Spark Cash","Microsoft",-6.24,Business,"Apps/software/web services",N,
11/10/25,"Capital One","Spark Cash","Capital One Autopay",1000,Business,"Credit card payment",N,
11/10/25,"Capital One","Spark Cash","SANDBAR",-107.77,Business,"Advertising",N,
11/10/25,"Capital One","Venture","CVS",-50.3,Business,"Other business expenses",N,
11/10/25,"Capital One","Venture","Albertsons",-151.02,Business,"Advertising",N,
11/10/25,"Capital One","Venture","CVS",-29,Business,"Other business expenses",N,
11/10/25,"Capital One","Venture","Bliss",-10,Business,"Wash and road services",N,
11/10/25,"Wells Fargo Bank","Initiate Business Checking��","Business To Business",-1000,Business,"Credit card payment",N,
11/10/25,"Wells Fargo Bank","Initiate Business Checking��","Mobile Deposit Ref",1800,Business,"Income",N,
11/10/25,"Wells Fargo Bank","Initiate Business Checking��","Chase Epay Eric",-129.68,Business,"Credit card payment",N,
11/10/25,"Wells Fargo Bank","checking","Venmo",-80.25,Business,"Materials & Supplies",N,"Amazon purchase - reimburse Q - went on his card"
11/10/25,"Amazon Visa (Chase)","CREDIT CARD","Interest Charge",-2.12,Business,"Credit card interest",N,
11/8/25,"Capital One","Spark Cash","Sweet",-40.89,Business,"Advertising",N,
11/8/25,"Capital One","Spark Cash","Ollies Pizza",-101.86,Business,"Advertising",N,"Mandalay bay"
11/8/25,"Capital One","Spark Cash","Ingram Micro",-17.46,Business,"Memberships/subscriptions",N,
11/8/25,"Capital One","Spark Cash","Anthropic",-40,Business,"Materials & Supplies",N,
11/8/25,"Capital One","Spark Cash","Chevron",-60.58,Business,"Gas and fuel",N,
11/8/25,"Capital One","Venture","Smoke & Vape",-55.76,Personal,"Shopping",N,
11/7/25,"Wells Fargo Bank","Initiate Business Checking��","Edeposit In Branch",2559.07,Business,"Income",N,
11/7/25,"Wells Fargo Bank","checking","Sale Eric Halsey",-57.09,Business,"Other business expenses",N,
11/7/25,"Wells Fargo Bank","checking","Socalgas",-19.17,Business,"Utilities",N,
11/7/25,"Capital One","Spark Cash","Ingram Micro",-17.01,Business,"Memberships/subscriptions",N,
11/7/25,"Amazon Visa (Chase)","CREDIT CARD","Partner Thank You",129.68,Business,"Credit card payment",N,
11/6/25,"Wells Fargo Bank","Initiate Business Checking��","Online Transfer Halsey",-3500,Business,"Transfer",N,
11/6/25,"Wells Fargo Bank","checking","Online Transfer A",3500,Business,"Transfer",N,
11/6/25,"Capital One","Spark Cash","Ingram Micro",-61.08,Business,"Memberships/subscriptions",N,
11/5/25,"Capital One","Spark Cash","Rest Splash",-39.02,Business,"Advertising",N,
